25 20
#########################
#...............g.......#
#...........######......#
#.............F.........#
#...........######......#
#..g........#    #......#
#...........#    #......#
#...........#    #......#
#......######    ###.####
#......#           #.#
#......#           #.#
#......#          ##.###
#####..####      #......#
  #.......#      #......#
  #...s...#      #..G...#
  #.......#      #......#
  #.......#      #...G..#
  #...@...#      #......#
  #.......#      #......#
  #########       ######
